structure_id,well_id,structure_acronym,structure_name
11999,113221580,"pVZpd","VZ in posterosuperior (dorsal) parietal cortex"
11936,113221578,"pSZpdi","inner SZ in posterosuperior (dorsal) parietal cortex"
11934,113221576,"pSZpdo","outer SZ in posterosuperior (dorsal) parietal cortex"
11825,113221574,"pIZpd","IZ in posterosuperior (dorsal) parietal cortex"
11767,113221572,"pSPpd","SP in posterosuperior (dorsal) parietal cortex"
11684,113221597,"pCPpdi","inner CP in posterosuperior (dorsal) parietal cortex"
11683,113221543,"pCPpdo","outer CP in posterosuperior (dorsal) parietal cortex"
11618,113221541,"pMZpd","MZ in posterodorsal (superior) parietal cortex"
11997,113221539,"oVZml","VZ in midlateral extrastriate cortex (area 19)"
11926,113221537,"oSZmli","inner SZ in midlateral extrastriate cortex"
11924,113221535,"oSZmlo","outer SZ in midlateral extrastriate cortex"
11819,113221533,"oIZml","IZ in midlateral extrastriate cortex (area 19)"
11765,113221531,"oSPml","SP in midlateral extrastriate cortex (area 19)"
11678,113221529,"oCPmli","inner CP in midlateral extrastriate cortex"
11677,113221527,"oCPmlo","outer CP in midlateral extrastriate cortex"
11616,113221525,"oMZml","MZ in midlateral extrastriate cortex (area 19)"
12004,113221495,"tVZil","VZ in inferolateral temporal cortex"
12000,113221493,"pVZpv","VZ in posteroinferior (ventral) parietal cortex"
11961,113221491,"tSZili","inner SZ in inferolateral temporal cortex"
11959,113221489,"tSZilo","outer SZ in inferolateral temporal cortex"
11941,113221487,"pSZpvi","inner SZ in posteroinferior (ventral) parietal cortex"
11939,113221485,"pSZpvo","outer SZ in posteroinferior (ventral) parietal cortex"
11840,113221483,"tIZil","IZ in inferolateral temporal cortex"
11828,113221582,"pIZpv","IZ in posteroinferior (ventral) parietal cortex"
11772,113221469,"tSPil","SP in inferolateral temporal cortex"
11768,113221467,"pSPpv","SP in posteroinferior (ventral) parietal cortex"
11699,113221465,"tCPili","inner CP in inferolateral temporal cortex"
11698,113221463,"tCPilo","outer CP in inferolateral temporal cortex"
11687,113221461,"pCPpvi","inner CP in posteroinferior (ventral) parietal cortex"
11686,113221459,"pCPpvo","outer CP in posteroinferior (ventral) parietal cortex"
11623,113221457,"tMZil","MZ in inferolateral temporal cortex"
11619,113221455,"pMZpv","MZ in posteroventral (inferior) parietal cortex"
11753,113221453,"CPrs","CP in retrosplenial cortex"
11648,113221451,"MZrs","MZ in retrosplenial cortex"
10411,113221414,"Pulm","medial nucleus of pulvinar"
10413,113221397,"Puli","inferior nucleus of pulvinar"
10412,113221395,"Pull","lateral nucleus of pulvinar"
11723,113221393,"cCPco","outer CP in caudal cingulate cortex"
11724,113221391,"cCPci","inner CP in caudal cingulate cortex"
12013,113221389,"cVZc","VZ in caudal cingulate neocortex"
11987,113221387,"cSZc","SZ in caudal cingulate cortex"
11865,113221385,"cIZc","IZ in caudal cingulate cortex"
12182,113221164,"PTN","pretectal nuclear complex"
10434,113221162,"MG","medial geniculate nuclei"
10410,113221160,"Pulr","anterior nucleus of pulvinar"
10430,113221158,"DLG","dorsal lateral geniculate nucleus"
10456,113221156,"MHN","medial habenular nucleus"
11680,113221154,"pCPs1o","outer CP in primary somatosensory cortex"
11656,113221152,"fCPm1o","outer CP in posteror frontal cortex (motor cortex)"
11617,113221150,"pMZs1","MZ in primary somatosensory cortex"
10453,113221125,"LHN","lateral habenular nucleus"
11990,113221434,"fVZm1","VZ in posteror frontal cortex (motor cortex)"
11931,113221119,"pSZs1i","inner SZ in primary somatosensory cortex"
11929,113221117,"pSZs1o","outer SZ in primary somatosensory cortex"
11893,113221115,"fSZm1i","inner SZ in posteror frontal cortex (motor cortex)"
11891,113221113,"fSZm1o","outer SZ in posteror frontal cortex (motor cortex)"
11837,113221111,"tIZsl","IZ in superolateral temporal cortex"
11834,113221432,"tIZa1","IZ in primary auditory cortex"
11822,113221107,"pIZs1","IZ in primary somatosensory cortex"
11798,113221092,"fIZm1","IZ in posteror frontal cortex (motor cortex)"
11771,113221090,"tSPsl","SP in superolateral temporal cortex"
11770,113221088,"tSPa1","SP in primary auditory cortex"
11766,113221086,"pSPs1","SP in primary somatosensory cortex"
11758,113221084,"fSPm1","SP in posteror frontal cortex (motor cortex)"
11696,113221082,"tCPsli","inner CP in superolateral temporal cortex"
11695,113221080,"tCPslo","outer CP in superolateral temporal cortex"
11693,113221078,"tCPa1i","inner CP in primary auditory cortex"
11692,113221076,"tCPa1o","outer CP in primary auditory cortex"
11681,113221074,"pCPs1i","inner CP in primary somatosensory cortex"
11657,113221051,"fCPm1i","inner CP in posteror frontal cortex (motor cortex)"
11621,113221047,"tMZa1","MZ in primary auditory cortex"
10450,113221045,"Pf","parafascicular nucleus of thalamus"
10408,113221043,"LP","lateral posterior nucleus of thalamus"
10396,113221041,"LD","lateral dorsal nucleus of thalamus"
10449,113221039,"CM","centromedian nucleus of thalamus"
10425,113221037,"VPM","ventral posterior medial nucleus"
10424,113221035,"VPL","ventral posterior lateral nucleus"
10398,113221033,"MD","mediodorsal nucleus of thalamus"
12247,113221000,"RN","red nucleus"
10420,113220998,"VL","ventral lateral nucleus of thalamus"
12259,113220994,"SNR","substantia nigra, reticular part"
12252,113220992,"SNC","substantia nigra, compact part"
11698,113220969,"tCPilo","outer CP in inferolateral temporal cortex"
11840,113220965,"tIZil","IZ in inferolateral temporal cortex"
11785,113220963,"iSPgr","SP in granular insular cortex"
11772,113220961,"tSPil","SP in inferolateral temporal cortex"
11734,113220959,"iCPgri","inner CP in granular insular cortex"
11733,113220957,"iCPgro","outer CP in granular insular cortex"
11636,113220953,"iMZgr","MZ in granular insular cortex"
11538,113220951,"PuC","caudal putamen"
10466,113248009,"STH","subthalamic nucleus"
10464,113248007,"R","reticular nucleus of thalamus"
10463,113248005,"ZI","zona incerta"
10417,113248003,"VA","ventral anterior nucleus of thalamus"
10395,113221019,"AV","anteroventral nucleus of thalamus"
10394,113247999,"AM","anteromedial nucleus of thalamus"
10393,113247997,"AD","anterodorsal nucleus of thalamus"
10381,113247995,"ASTA","amygdalostriatal transition area"
11650,113220678,"fCPdmo","outer CP in dorsomedial frontal cortex"
10488,113220614,"VMH","ventromedial hypothalamic nucleus"
10354,113220503,"NDB","nucleus of diagonal band"
10352,113220461,"LSN","lateral septal nucleus"
11898,113220285,"fSZdli","inner SZ in dorsolateral prefrontal cortex"
11653,113219480,"fCPoro","outer CP in orbital frontal cortex"
10375,113220734,"CoP","posterior cortical nucleus"
11401,113220732,"EMI","medial intermediate part of entorhinal cortex"
11506,113220730,"CElcn","central part of CEl"
10503,113220728,"PHN","posterior hypothalamic nucleus"
10499,113220726,"MM","medial mammillary nucleus"
11530,113220709,"MeR","rostral subdivision of medial nucleus"
10374,113220707,"CoA","anterior cortical nucleus"
10364,113220705,"CEm","medial subdivision of central nucleus"
10378,113220703,"INA","Intercalated nucleus of amygdala"
11988,113220701,"fVZdm","VZ in dorsomedial frontal cortex"
11883,113220699,"fSZdmi","inner SZ in dorsomedial frontal cortex"
11792,113220695,"fIZdm","IZ in dorsomedial frontal cortex"
11773,113220693,"tSPmi","SP in midinferior temporal cortex"
11756,113220691,"fSPdm","SP in dorsomedial frontal cortex"
11651,113220680,"fCPdmi","inner CP in dorsomedial frontal cortex"
11631,113220676,"cMZmi","MZ in midcingulate cortex"
11607,113220674,"fMZdm","MZ in dorsomedial frontal cortex"
10369,113220672,"BM","basomedial nucleus (accessory basal nucleus)"
12012,113220670,"cVZmi","VZ in midcingulate neocortex"
11986,113220668,"cSZmi","SZ in midcingulate cortex"
11862,113220666,"cIZmi","IZ in midcingulate cortex"
11721,113220662,"cCPmii","inner CP in midcingulate cortex"
11720,113220628,"cCPmio","outer CP in midcingulate cortex"
11701,113220624,"tCPmio","outer CP in midinferior temporal cortex"
11624,113220622,"tMZmi","MZ in midinferior temporal cortex"
11381,113220620,"ER","rostral part of entorhinal cortex"
10494,113220618,"LHAtub","lateral hypothalamic area, tuberal part"
10492,113220616,"Arc","arcuate nucleus of hypothalamus"
10485,113220612,"DMH","dorsomedial hypothalamic nucleus"
10371,113220593,"En","endopiriform nucleus"
10368,113220591,"BL","basolateral nucleus (basal nucleus)"
10367,113220589,"La","lateral nucleus"
10457,113220535,"PaV","paraventricular nucleus"
11713,113220531,"tCPtpo","outer CP in temporal polar cortex"
10470,113220529,"MPN","medial preoptic nucleus"
10384,113220527,"BNST","bed nucleus of stria terminalis"
11628,113220525,"tMZtp","MZ in temporal polar cortex"
11606,113220523,"tSGtp","SG in temporal polar cortex"
10310,113220521,"OT","olfactory tubercle"
11337,113220507,"Pir3","layer III of piriform cortex"
10357,113220505,"NSP","nucleus subputaminalis"
11784,113220499,"iSPdg","SP in dysgranular insular cortex"
11731,113220497,"iCPdgi","inner CP in dysgranular insular cortex"
11730,113220495,"iCPdgo","outer CP in dysgranular insular cortex"
11635,113220493,"iMZdg","MZ in dysgranular insular cortex"
11336,113220491,"Pir2","layer II of piriform cortex"
10328,113220473,"Iag","agranular insular cortex (area Iag)"
11547,113220471,"NACsm","medial portion of the shell"
11545,113220469,"NACsl","lateral portion of the shell"
10556,113220467,"RMS","rostral migratory stream"
10551,113220465,"LGE","lateral ganglionic eminence"
10550,113220463,"MGE","medial ganglionic eminence"
10351,113220459,"MSN","medial septal nucleus"
10340,113220457,"NACc","core of nucleus accumbens"
10281,113220455,"A25","subgenual (subcallosal) division of MFC (area 25)"
11992,113220295,"fVZvl","VZ in ventrolateral prefrontal cortex"
11991,113220293,"fVZdl","VZ in dorsolateral prefrontal cortex"
11989,113220291,"fVZor","VZ in orbital frontal cortex"
11903,113220289,"fSZvli","inner SZ in ventrolateral prefrontal cortex"
11901,113220287,"fSZvlo","outer SZ in ventrolateral prefrontal cortex"
11896,113220271,"fSZdlo","outer SZ in dorsolateral prefrontal cortex"
10348,113220583,"CLv","ventral claustrum"
10344,113220579,"GPi","internal segment of globus pallidus"
10336,113220575,"CaB","body of caudate"
11790,113220561,"SPpc","SP in perirhinal cortex"
11646,113220555,"MZpcr","MZ in rostral perirhinal cortex"
11378,113220553,"EOd","deep layers of olfactory entorhinal cortex"
11372,113220551,"EOs","superficial layers of olfactory entorhinal cortex"
11886,113220267,"fSZoro","outer SZ in orbital frontal cortex"
11804,113220265,"fIZvl","IZ in ventrolateral prefrontal cortex"
11801,113220263,"fIZdl","IZ in dorsolateral prefrontal cortex"
11795,113220261,"fIZor","IZ in orbital frontal cortex"
11760,113220259,"fSPvl","SP in ventrolateral prefrontal cortex"
11759,113220257,"fSPdl","SP in dorsolateral prefrontal cortex"
11757,113220255,"fSPor","SP in orbital frontal cortex"
11663,113220253,"fCPvli","inner CP in ventrolateral prefrontal cortex"
11662,113219488,"fCPvlo","outer CP in ventrolateral prefrontal cortex"
11660,113219486,"fCPdli","inner CP in dorsolateral prefrontal cortex"
11659,113219484,"fCPdlo","outer CP in dorsolateral prefrontal cortex"
11654,113220565,"fCPori","inner CP in orbital frontal cortex"
11611,113219478,"fMZvl","MZ in ventrolateral prefrontal cortex"
11610,113219476,"fMZdl","MZ in dorsolateral prefrontal cortex"
11608,113219474,"fMZor","MZ in orbital frontal cortex"
11537,113219472,"PuR","rostral putamen"
11717,113219470,"cCPro","outer CP in rostral cingulate cortex"
11630,113219359,"cMZr","MZ in rostral cingulate cortex"
10335,113219357,"CaH","head of caudate"
12011,113219355,"cVZr","VZ in rostral cingulate neocortex"
11985,113220563,"cSZr","SZ in rostral cingulate cortex"
11859,113219351,"cIZr","IZ in rostral cingulate cortex"
11779,113219349,"cSPr","SP in rostral cingulate cortex"
11718,113219347,"cCPri","inner CP in rostral cingulate cortex"
11993,12971,"fVZfp","VZ in frontal polar cortex"
11906,12969,"fSZfpo","outer SZ in frontal polar cortex"
11807,113219345,"fIZfp","IZ in frontal polar cortex"
11761,12968,"fSPfp","SP in frontal polar cortex"
11666,12967,"fCPfpi","inner CP in frontal polar cortex"
11665,12966,"fCPfpo","outer CP in frontal polar cortex"
11587,113219341,"fSGfp","SG in frontal polar cortex"
11781,113221383,"cSPc","SP in caudal cingulate cortex"
10552,113221436,"CGE","caudal ganglionic eminence"
11998,113221123,"pVZs1","VZ in primary somatosensory cortex"
11622,113221049,"tMZsl","MZ in superolateral temporal cortex"
11873,113220967,"iIZgr","IZ in granular insular cortex"
11699,113220955,"tCPili","inner CP in inferolateral temporal cortex"
10553,113248011,"paVZ","VZ in postamygdaloid region"
11881,113220697,"fSZdmo","outer SZ in dorsomedial frontal cortex"
11780,113220664,"cSPmi","SP in midcingulate cortex"
11702,113220626,"tCPmii","inner CP in midinferior temporal cortex"
10481,113220610,"SO","supraoptic nucleus"
10353,113220585,"BNM","basal nucleus of Meynert"
10347,113220581,"CLd","Dorsal claustrum"
10343,113220761,"GPe","external segment of globus pallidus"
11749,113220559,"CPpcri","inner CP in rostral perirhinal cortex"
11748,113220557,"CPpcro","outer CP in rostral perirhinal cortex"
10482,113220539,"LHAa","lateral hypothalamic area, anterior part"
11777,113220537,"tSPtp","SP in temporal polar cortex"
11714,113220738,"tCPtpi","inner CP in temporal polar cortex"
11872,113220501,"iIZdg","IZ in dysgranular insular cortex"
11888,113220269,"fSZori","inner SZ in orbital frontal cortex"
11907,12970,"fSZfpi","inner SZ in frontal polar cortex"
11612,113219343,"fMZfp","MZ in frontal polar cortex"
